Số lần đánh,depth1,depth2,depth3
1,0,0,0
2,0,0,0
3,0.033061743,0.131855726,0.960043907
4,20,97,633
5,0.033061743,0.131855726,0.960043907
6,20,97,633
7,0.037233829,0.961289406,4.225663185
8,41,622,2663
9,0.037233829,0.961289406,4.225663185
10,41,622,2663
11,0.083279848,0.808523417,16.19494176
12,76,1087,10095
13,0.083279848,0.808523417,16.19494176
14,76,1087,10095
15,0.005985022,0.685043812,13.31017327
16,77,1476,15743
17,0.005985022,0.685043812,13.31017327
18,77,1476,15743
19,0.005076408,0.974742413,25.800385
20,78,1998,26468
21,0.005076408,0.974742413,25.800385
22,78,1998,26468
23,0.040404797,1.640007973,31.03322768
24,96,2747,39872
25,0.040404797,1.640007973,31.03322768
26,96,2747,39872
27,0.03386116,1.831668615,22.19300795
28,111,3561,50151
29,0.03386116,1.831668615,22.19300795
30,111,3561,50151
31,0.034549475,2.051563978,9.95971489
32,130,4403,56935
33,0.034549475,2.051563978,9.95971489
34,130,4403,56935
35,0.015647173,2.063549757,6.539013386
36,136,5247,61198
37,0.015647173,2.063549757,6.539013386
38,136,5247,61198
39,0.061957121,2.377122164,8.914643049
40,155,6121,66393
41,0.061957121,2.377122164,8.914643049
42,155,6121,66393
43,0.032921314,1.250521898,8.08384037
44,173,6586,71034
45,0.032921314,1.250521898,8.08384037
46,173,6586,71034
47,0.035430193,0.332682848,15.92864847
48,192,6755,79478
49,0.035430193,0.332682848,15.92864847
50,192,6755,79478
51,0.031063795,1.010652542,4.945063353
52,210,7272,82662
53,0.031063795,1.010652542,4.945063353
54,210,7272,82662
55,0.005651951,0.521085262,7.044242144
56,211,7544,87284
57,0.005651951,0.521085262,7.044242144
58,211,7544,87284
59,0.032111406,0.863950968,13.71497464
60,228,8069,96063
61,0.032111406,0.863950968,13.71497464
62,228,8069,96063
63,0.005512953,0.615539074,6.943316698
64,229,8439,100529
65,0.005512953,0.615539074,6.943316698
66,229,8439,100529
67,0.008653402,0.313716888,8.953538895
68,231,8635,106392
69,0.008653402,0.313716888,8.953538895
70,231,8635,106392
71,0.020211458,0.187632561,16.91890383
72,247,8788,116731
73,0.020211458,0.187632561,16.91890383
74,247,8788,116731
75,0.025165081,0.19766593,9.818957329
76,264,8943,122545
77,0.025165081,0.19766593,9.818957329
78,264,8943,122545
79,0.011328459,0.125612736,13.55932212
80,269,9049,131013
81,0.011328459,0.125612736,13.55932212
82,269,9049,131013
83,0.004530191,0.273200989,12.47389603
84,270,9274,137663
85,0.004530191,0.273200989,12.47389603
86,270,9274,137663
87,0.025719166,0.064564466,13.3565793
88,290,9336,145298
89,0.025719166,0.064564466,13.3565793
90,290,9336,145298
91,0.016908407,0.097439766,12.18924665
92,308,9448,153869
93,0.016908407,0.097439766,12.18924665
94,308,9448,153869
95,0.018034697,0.119369745,6.05728364
96,324,9583,159244
97,0.018034697,0.119369745,6.05728364
98,324,9583,159244
99,0.018477678,0.085630178,6.49984026
100,344,9680,164152
101,0.018477678,0.085630178,6.49984026
102,344,9680,164152
103,0.017538071,0.05969429,17.20810914
104,362,9754,174765
105,0.017538071,,17.20810914
106,362,,174765
107,0.008790016,,6.591615438
108,366,,179082
109,0.008790016,,6.591615438
110,366,,179082
111,0.015796185,,7.061688185
112,378,,184336
113,0.015796185,,7.061688185
114,378,,184336
115,0.016489506,,10.09023499
116,393,,192448
117,0.016489506,,10.09023499
118,393,,192448
119,0.012181044,,2.122835159
120,408,,194112
121,0.012181044,,2.122835159
122,408,,194112
123,0.008105278,,14.96846819
124,421,,204098
125,0.008105278,,14.96846819
126,421,,204098
127,0.011528015,,9.437531948
128,432,,210948
129,0.011528015,,9.437531948
130,432,,210948
131,0.01338315,,9.438000917
132,445,,218186
133,0.01338315,,9.438000917
134,445,,218186
135,0.015032291,,6.958819151
136,459,,224181
137,0.015032291,,6.958819151
138,459,,224181
139,0.019028187,,6.953457117
140,474,,230258
141,0.019028187,,6.953457117
142,474,,230258
143,0.01904273,,7.56392312
144,489,,236693
145,0.01904273,,7.56392312
146,489,,236693
147,0.008504152,,6.62365818
148,502,,242794
149,0.008504152,,6.62365818
150,502,,242794
151,0.015810251,,4.55218029
152,518,,246370
153,0.015810251,,4.55218029
154,518,,246370
155,0.006820679,,2.400182962
156,524,,249206
157,0.006820679,,2.400182962
158,524,,249206
159,0.003047466,,1.810062647
160,526,,251421
161,0.003047466,,1.810062647
162,526,,251421
163,0.001702547,,0.67774725
164,527,,252916
165,0.001702547,,0.67774725
166,527,,252916
167,,,0.975649118
168,,,255144
169,,,0.975649118
170,,,255144
171,,,0.855702162
172,,,257159
173,,,0.855702162
174,,,257159
175,,,0.620300055
176,,,258572
177,,,0.620300055
178,,,258572
179,,,0.172199249
180,,,259009
181,,,0.172199249
182,,,259009
183,,,0.04268074
184,,,259115
185,,,0.04268074
186,,,259115
187,,,0.148035288
188,,,259478
